x,y
0,2
1,3
2,8
3,8
4,12
5,17
6,22
7,26
8,39
9,54
10,64
11,87
12,98
13,128
14,150
15,182
16,200
17,217
18,266
19,312
20,331
21,360
22,393
23,488
24,493
25,536
26,565
27,608
28,670
29,685
30,696
31,764
32,784
33,853
34,878
35,884
36,959
37,969
38,968
39,965
40,977
41,961
42,1009
43,1064
44,1122
45,1180
46,1122
47,1089
48,1113
49,1100
50,1085
51,1071
52,992
53,973
54,969
55,1032
56,1105
57,1132
58,1151
59,1188
60,1181
61,1145
62,1139
63,1148
64,1108
65,1043
66,975
67,917
68,908
69,849
70,835
71,826
72,744
73,724
74,677
75,662
76,587
77,567
78,538
79,542
80,547
81,566
82,616
83,639
84,611
85,596
86,575
87,544
88,521
89,469
90,452
91,438
92,431
93,397
94,377
95,352
96,361
97,400
98,394
99,380
100,396
101,399
102,362
103,376
104,384
105,333
106,309
107,274
108,281
109,241
110,252
111,235
112,214
113,216
114,230
115,200
116,177
117,174
118,170
119,155
120,134
121,165
122,144
123,131
124,126
125,120
126,120
127,96
128,109
129,142
130,151
131,143
132,133
133,120
134,101
135,70
136,55
137,52
138,50
139,42
140,41
141,41
142,38
143,36
144,66
145,54
146,39
147,32
148,29
149,65
150,56
151,52
152,59
153,44
154,43
155,43
156,33
157,33
158,56
159,47
160,75
161,56
162,49
163,38
164,53
165,42
166,46
167,35
168,31
169,21
170,34
171,57
172,48
173,69
174,56
175,62
176,48
177,42
178,34
179,30
180,24
181,24
182,32
183,25
184,27
185,20
186,15
187,16
188,12
189,11
190,14
191,13
192,8
193,5
194,3
195,6
196,9
197,9
198,10
199,9
200,8
201,7
202,8
203,6
204,5
205,12
206,11
207,11
208,8
209,5
210,4
211,3
212,1
213,1
214,1
215,0
