x,y
0,2
1,3
2,2
3,2
4,3
5,4
6,6
7,11
8,12
9,16
10,14
11,15
12,17
13,22
14,32
15,37
16,44
17,55
18,64
19,66
20,69
21,77
22,95
23,123
24,134
25,171
26,171
27,171
28,207
29,199
30,209
31,190
32,198
33,215
34,216
35,246
36,238
37,260
38,256
39,253
40,272
41,277
42,309
43,341
44,353
45,369
46,373
47,351
48,329
49,330
50,348
51,344
52,347
53,343
54,369
55,399
56,365
57,378
58,372
59,370
60,393
61,373
62,387
63,358
64,366
65,378
66,380
67,354
68,363
69,359
70,377
71,362
72,366
73,358
74,343
75,374
76,397
77,431
78,470
79,470
80,463
81,483
82,497
83,503
84,492
85,470
86,462
87,449
88,462
89,457
90,438
91,448
92,432
93,415
94,399
95,392
96,416
97,431
98,451
99,463
100,456
101,474
102,462
103,486
104,498
105,494
106,488
107,496
108,480
109,477
110,495
111,479
112,505
113,511
114,523
115,539
116,545
117,557
118,561
119,578
120,576
121,576
122,578
123,597
124,595
125,584
126,585
127,556
128,533
129,537
130,527
131,541
132,533
133,497
134,484
135,486
136,497
137,479
138,450
139,460
140,442
141,466
142,444
143,462
144,465
145,488
146,492
147,486
148,516
149,478
150,470
151,481
152,433
153,413
154,397
155,411
156,394
157,419
158,415
159,381
160,360
161,318
162,271
163,266
164,260
165,268
166,265
167,252
168,246
169,207
170,198
171,187
172,217
173,203
174,173
175,198
176,186
177,153
178,152
179,148
180,130
181,131
182,133
183,123
184,141
185,159
186,162
187,142
188,132
189,126
190,121
191,101
192,107
193,105
194,96
195,90
196,93
197,101
198,97
199,103
200,94
201,91
202,82
203,91
204,84
205,96
206,110
207,91
208,88
209,88
210,96
211,88
212,94
213,80
214,73
215,69
216,57
217,47
218,59
219,57
220,52
221,48
222,59
223,47
224,54
225,57
226,46
227,57
228,50
229,38
230,34
231,32
232,36
233,27
234,21
235,21
236,40
237,35
238,32
239,27
240,18
241,18
242,14
243,18
244,16
245,18
246,14
247,10
248,8
249,8
250,7
251,7
252,6
253,11
254,10
255,6
256,5
257,1
258,1
259,1
260,1
261,0
