x,y
0,2
1,1
2,3
3,8
4,4
5,6
6,12
7,24
8,23
9,26
10,36
11,58
12,80
13,104
14,111
15,124
16,168
17,201
18,237
19,264
20,278
21,281
22,333
23,397
24,441
25,482
26,504
27,602
28,612
29,607
30,599
31,592
32,603
33,659
34,674
35,719
36,726
37,724
38,727
39,782
40,783
41,768
42,838
43,902
44,926
45,892
46,894
47,882
48,903
49,903
50,873
51,814
52,826
53,865
54,909
55,944
56,1000
57,1025
58,1002
59,1025
60,999
61,990
62,1047
63,979
64,1117
65,1011
66,1031
67,1023
68,1067
69,1035
70,1072
71,1124
72,1180
73,1173
74,1143
75,1096
76,1070
77,1068
78,1013
79,990
80,974
81,978
82,913
83,858
84,868
85,819
86,873
87,898
88,874
89,815
90,775
91,676
92,704
93,707
94,665
95,620
96,629
97,570
98,533
99,548
100,573
101,479
102,475
103,416
104,377
105,347
106,304
107,349
108,312
109,320
110,315
111,264
112,232
113,199
114,182
115,171
116,223
117,192
118,185
119,243
120,188
121,172
122,156
123,116
124,138
125,132
126,178
127,149
128,135
129,136
130,158
131,139
132,135
133,114
134,95
135,118
136,116
137,89
138,68
139,60
140,41
141,34
142,26
143,23
144,20
145,16
146,28
147,23
148,18
149,14
150,10
151,18
152,17
153,13
154,6
155,5
156,5
157,2
158,2
159,2
160,1
161,8
162,4
163,2
164,2
165,1
166,1
167,0
