x,y
0,2
1,3
2,2
3,5
4,7
5,7
6,7
7,7
8,7
9,9
10,10
11,12
12,14
13,14
14,13
15,14
16,14
17,16
18,23
19,29
20,41
21,72
22,98
23,128
24,188
25,282
26,372
27,486
28,620
29,770
30,923
31,1120
32,1294
33,1382
34,1433
35,1400
36,1422
37,1507
38,1516
39,1624
40,1636
41,1648
42,1671
43,1695
44,1679
45,1744
46,1762
47,1821
48,1914
49,1938
50,1923
51,1888
52,1937
53,1893
54,1898
55,1863
56,1780
57,1636
58,1543
59,1415
60,1339
61,1260
62,1239
63,1138
64,1167
65,1188
66,1043
67,961
68,892
69,812
70,767
71,727
72,665
73,625
74,602
75,687
76,610
77,550
78,491
79,455
80,412
81,361
82,396
83,394
84,331
85,275
86,258
87,290
88,269
89,244
90,221
91,191
92,184
93,169
94,162
95,125
96,118
97,91
98,94
99,71
100,114
101,94
102,90
103,123
104,145
105,112
106,126
107,108
108,96
109,69
110,56
111,51
112,95
113,121
114,134
115,132
116,111
117,127
118,105
119,80
120,71
121,65
122,49
123,38
124,32
125,41
126,33
127,32
128,26
129,17
130,14
131,87
132,73
133,53
134,42
135,33
136,25
137,17
138,12
139,17
140,63
141,50
142,45
143,49
144,42
145,32
146,22
147,24
148,19
149,12
150,18
151,11
152,9
153,5
154,5
155,3
156,2
157,0
