x,y
0,2
1,2
2,2
3,2
4,2
5,1
6,1
7,2
8,3
9,3
10,3
11,6
12,4
13,8
14,14
15,28
16,50
17,67
18,88
19,118
20,174
21,186
22,221
23,241
24,265
25,326
26,338
27,352
28,372
29,369
30,387
31,410
32,421
33,438
34,442
35,463
36,471
37,522
38,528
39,543
40,564
41,538
42,547
43,569
44,556
45,598
46,633
47,677
48,671
49,692
50,727
51,759
52,776
53,727
54,742
55,745
56,721
57,719
58,762
59,749
60,729
61,755
62,707
63,741
64,742
65,767
66,870
67,828
68,847
69,878
70,910
71,962
72,994
73,978
74,1022
75,1097
76,1089
77,1099
78,1109
79,1098
80,1074
81,1056
82,1007
83,999
84,984
85,1003
86,992
87,943
88,968
89,950
90,1074
91,1103
92,1236
93,1224
94,1216
95,1156
96,1127
97,1064
98,915
99,932
100,897
101,835
102,720
103,654
104,648
105,645
106,570
107,519
108,526
109,493
110,490
111,463
112,447
113,413
114,403
115,401
116,374
117,356
118,380
119,342
120,330
121,315
122,278
123,264
124,246
125,247
126,207
127,249
128,247
129,202
130,209
131,225
132,202
133,167
134,157
135,181
136,165
137,152
138,123
139,106
140,126
141,147
142,133
143,121
144,117
145,99
146,91
147,79
148,81
149,99
150,71
151,59
152,55
153,32
154,32
155,28
156,17
157,11
158,9
159,7
160,5
161,4
162,4
163,2
164,2
165,1
166,0
