x,y
0,2
1,3
2,4
3,3
4,4
5,9
6,13
7,15
8,18
9,24
10,46
11,65
12,92
13,132
14,194
15,249
16,316
17,406
18,406
19,468
20,573
21,608
22,685
23,680
24,736
25,756
26,798
27,855
28,941
29,928
30,925
31,999
32,1000
33,1016
34,1005
35,991
36,980
37,1012
38,992
39,1064
40,1013
41,924
42,916
43,967
44,1029
45,1117
46,1177
47,1317
48,1276
49,1302
50,1377
51,1418
52,1450
53,1564
54,1713
55,1760
56,1813
57,1891
58,1888
59,1837
60,1782
61,1771
62,1579
63,1425
64,1353
65,1284
66,1247
67,1165
68,1069
69,998
70,946
71,929
72,872
73,803
74,750
75,753
76,760
77,698
78,711
79,681
80,628
81,546
82,548
83,548
84,533
85,499
86,456
87,391
88,389
89,346
90,301
91,280
92,252
93,234
94,187
95,195
96,168
97,176
98,140
99,142
100,125
101,109
102,141
103,111
104,99
105,87
106,65
107,56
108,47
109,47
110,53
111,61
112,71
113,104
114,82
115,63
116,108
117,90
118,83
119,111
120,88
121,76
122,72
123,55
124,48
125,39
126,41
127,35
128,24
129,20
130,19
131,14
132,10
133,9
134,8
135,11
136,9
137,5
138,2
139,2
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,5
154,10
155,49
156,47
157,32
158,32
159,20
160,25
161,17
162,14
163,11
164,9
165,13
166,16
167,11
168,7
169,12
170,10
171,13
172,9
173,8
174,7
175,5
