x,y
0,2
1,2
2,1
3,2
4,2
5,2
6,2
7,4
8,3
9,4
10,4
11,4
12,3
13,2
14,3
15,4
16,5
17,5
18,4
19,5
20,3
21,3
22,4
23,4
24,5
25,25
26,83
27,113
28,154
29,167
30,206
31,254
32,269
33,305
34,315
35,394
36,468
37,493
38,508
39,514
40,537
41,579
42,676
43,691
44,697
45,722
46,753
47,765
48,796
49,808
50,839
51,947
52,941
53,914
54,998
55,986
56,986
57,962
58,1018
59,1076
60,1290
61,1422
62,1437
63,1519
64,1457
65,1443
66,1412
67,1496
68,1450
69,1472
70,1503
71,1489
72,1539
73,1611
74,1660
75,1704
76,1717
77,1717
78,1687
79,1720
80,1687
81,1579
82,1508
83,1494
84,1449
85,1304
86,1264
87,1151
88,1084
89,994
90,971
91,883
92,835
93,776
94,748
95,678
96,659
97,601
98,565
99,611
100,526
101,492
102,506
103,456
104,372
105,321
106,324
107,324
108,336
109,279
110,267
111,235
112,236
113,225
114,246
115,197
116,187
117,156
118,127
119,107
120,140
121,107
122,109
123,77
124,94
125,69
126,53
127,51
128,88
129,68
130,58
131,59
132,54
133,39
134,26
135,16
136,12
137,9
138,8
139,5
140,13
141,10
142,8
143,5
144,5
145,9
146,7
147,6
148,11
149,18
150,12
151,13
152,13
153,8
154,5
155,5
156,2
157,2
158,2
159,2
160,2
161,2
162,1
163,1
164,1
165,1
166,0
