trial,k,i,speed,M,μ (ticks),σ (ticks),μ (days),σ (days)
1,0.2400,0.0002,6,1042.26,77.77,29.82,55.94964029,21.45323741
2,0.2400,0.0002,6,2.39,5.27,4.11,3.791366906,2.956834532
3,0.2400,0.0002,6,960.43,67.92,34.25,48.86330935,24.64028777
4,0.2400,0.0002,6,952.38,71.32,35.02,51.30935252,25.1942446
5,0.2400,0.0002,6,1091.23,65.33,28.40,47,20.43165468
6,0.2400,0.0002,6,1010.25,78.96,31.21,56.8057554,22.45323741
7,0.2400,0.0002,6,981.55,73.16,32.44,52.63309353,23.3381295
8,0.2400,0.0002,6,1458.75,47.93,18.74,34.48201439,13.48201439
9,0.2400,0.0002,6,1535.01,53.39,17.12,38.41007194,12.31654676
10,0.2400,0.0002,6,0.00363,75.00,11.00,53.95683453,7.913669065
,,,,903.425363,61.605,24.211,44.32014388,17.41798561
