trial,k,i,speed,M,μ (ticks),σ (ticks),μ (days),σ (days)
1,0.2400,0.0002,1,2.18,7.92,13.37,5.697841727,9.618705036
2,0.2400,0.0002,1,7.41,16.83,11.21,12.10791367,8.064748201
3,0.2400,0.0002,1,0.00363,75.0,11.0,53.95683453,7.913669065
4,0.2400,0.0002,1,1.97,7.2,4.8,5.179856115,3.431654676
5,0.2400,0.0002,1,0.00363,75.0,11.0,53.95683453,7.913669065
6,0.2400,0.0002,1,4.47,20.29,14.32,14.5971223,10.30215827
7,0.2400,0.0002,1,0.00363,75.0,11.0,53.95683453,7.913669065
8,0.2400,0.0002,1,4.33,12.4,5.9,8.942446043,4.273381295
9,0.2400,0.0002,1,18.95,52.47,20.91,37.74820144,15.04316547
10,0.2400,0.0002,1,16.28,47.1,7.86,33.84892086,5.654676259
,,,,5.560089,38.919,11.138,27.99928058,8.01294964
