trial,k,i,speed,M,μ (ticks),σ (ticks),μ (days),σ (days)
1,0.2400,0.0002,3,255.14,161.12,94.55,115.9136691,68.02158273
2,0.2400,0.0002,3,95.36,264.11,116.43,190.0071942,83.76258993
3,0.2400,0.0002,3,11.86,76.07,47.10,54.72661871,33.88489209
4,0.2400,0.0002,3,68.05,253.1,69.91,182.1007194,50.29496403
5,0.2400,0.0002,3,0.00363,75.0,11.0,53.95683453,7.913669065
6,0.2400,0.0002,3,2.73,9.86,22.78,7.09352518,16.38848921
7,0.2400,0.0002,3,14.45,14.46,7.87,10.4028777,5.661870504
8,0.2400,0.0002,3,28.60,217.91,324.4,156.7697842,233.3453237
9,0.2400,0.0002,3,39.07,150.06,77.12,107.9568345,55.48201439
10,0.2400,0.0002,3,0.00363,75.0,11.0,53.95683453,7.913669065
,,,,51.526726,129.671,78.211,93.28848921,56.26690647
