trial,k,i,speed,M,μ (ticks),σ (ticks),μ (days),σ (days)
1,0.2400,0.0002,8,2009.55,47.40,14.32,34.10071942,10.30215827
2,0.2400,0.0002,8,1.80,1.42,9.29,1.021582734,6.683453237
3,0.2400,0.0002,8,1625.38,50.29,19.98,36.17985612,14.37410072
4,0.2400,0.0002,8,1460.57,53.71,23.55,38.64028777,16.94244604
5,0.2400,0.0002,8,1573.31,51.79,19.95,37.25899281,14.35251799
6,0.2400,0.0002,8,1517.62,51.03,21.19,36.71223022,15.24460432
7,0.2400,0.0002,8,1586.98,71.80,19.93,51.65467626,14.3381295
8,0.2400,0.0002,8,1509.24,53.48,20.68,38.47482014,14.87769784
9,0.2400,0.0002,8,1477.08,50.66,22.65,36.44604317,16.29496403
10,0.2400,0.0002,8,1900.98,49.73,15.43,35.77697842,11.10071942
,,,,1466.251,48.13,18.697,34.62661871,13.45107914
