trial,k,i,speed,M,μ (ticks),σ (ticks),μ (days),σ (days)
1,0.2400,0.0002,2,51.37,88.67,72.47,63.79136691,52.13669065
2,0.2400,0.0002,2,0.00363,75.0,11.0,53.95683453,7.913669065
3,0.2400,0.0002,2,50.83,268.28,267.77,193.0071942,192.6402878
4,0.2400,0.0002,2,1.43,3.22,12.00,2.316546763,8.633093525
5,0.2400,0.0002,2,4.48,17.69,6.46,12.72661871,4.647482014
6,0.2400,0.0002,2,140.46,183.05,84.84,131.6906475,61.03597122
7,0.2400,0.0002,2,0.00363,75.0,11.0,53.95683453,7.913669065
8,0.2400,0.0002,2,0.00363,75.0,11.0,53.95683453,7.913669065
9,0.2400,0.0002,2,77.64,142.9,120.04,102.8057554,86.35971223
10,0.2400,0.0002,2,0.00363,75.0,11.0,53.95683453,7.913669065
,,,,32.622452,100.381,60.758,72.21654676,43.71079137
