trial,k,i,speed,M,μ (ticks),σ (ticks),μ (days),σ (days)
1,0.2400,0.0002,7,1611.98,45.81,18.14,32.95683453,13.05035971
2,0.2400,0.0002,7,1391.15,49.15,23.19,35.35971223,16.68345324
3,0.2400,0.0002,7,1208.90,68.11,26.47,49,19.04316547
4,0.2400,0.0002,7,1309.07,62.45,24.2,44.92805755,17.41007194
5,0.2400,0.0002,7,1129.10,61.20,29.88,44.02877698,21.49640288
6,0.2400,0.0002,7,1346.69,64.48,24.07,46.38848921,17.31654676
7,0.2400,0.0002,7,0.00363,75.00,11.00,53.95683453,7.913669065
8,0.2400,0.0002,7,1580.66,46.32,18.84,33.32374101,13.55395683
9,0.2400,0.0002,7,0.00363,75.00,11.00,53.95683453,7.913669065
10,0.2400,0.0002,7,1277.3,58.06,24.98,41.76978417,17.97122302
,,,,1085.485726,60.558,21.177,43.56690647,15.2352518
